week,period,bathroom accessories_pv,bathroom cabinets_pv,bathroom fixture parts_pv,bathroom fixtures_pv,bathroom shelves_pv,bathroom vanities and sink consoles_pv,medicine cabinets_pv,towel bars and hooks_pv,towels_pv,vanity stools and benches_pv,vanity tops and side splashes_pv,bathroom accessories_cm,bathroom cabinets_cm,bathroom fixture parts_cm,bathroom fixtures_cm,bathroom shelves_cm,bathroom vanities and sink consoles_cm,medicine cabinets_cm,towel bars and hooks_cm,towels_cm,vanity stools and benches_cm,vanity tops and side splashes_cm
2020-11-30,pre,11105.0,1691.0,23991.0,73730.0,1386.0,82492.0,5527.0,7101.0,328.0,1298.0,542.0,2422.7156524327365,526.7226228721776,298.20611132336984,7124.994651163572,45.69194413101032,32951.80638180737,2239.5351600270205,840.5358814147767,227.20881193157865,1582.6322145875406,167.4763716639311
2020-12-07,pre,11069.0,1791.0,24127.0,72658.0,1507.0,75708.0,5595.0,7093.0,439.0,1045.0,412.0,1564.1690452857526,1262.8814106635803,-28.162551062971332,6534.543995378458,157.3325577816779,25208.269187469115,2488.0573568822315,1417.761305370075,247.94537291384282,497.02602992058166,110.64733277186204
2020-12-14,pre,8941.0,1605.0,22451.0,70015.0,1452.0,67633.0,4773.0,6885.0,758.0,894.0,469.0,1462.1007689369628,811.4492179342915,921.6106915300675,6773.327481788292,93.13693232683856,16618.673996553436,2731.481234476721,676.7982018315846,682.531901134273,145.75772616711197,-15.14
2020-12-21,pre,8552.0,1893.0,20450.0,67641.0,1309.0,71760.0,6109.0,6968.0,220.0,821.0,427.0,1041.9466030251035,536.2711718507405,-394.8034320351975,6453.3968101966475,25.33498488888655,17299.81443129766,-1532.6649938480978,1001.0148852143437,-26.882496321748338,427.12194606050537,-16.233496366747787
2020-12-28,pre,11913.0,2746.0,25222.0,74840.0,1840.0,116485.0,8342.0,8222.0,251.0,1503.0,578.0,1998.03777345019,706.6707229411247,477.31895178415186,7707.422095695905,89.71099379209613,32005.87881102559,2045.2495075291297,2556.1625251237106,83.97723260396407,422.38341168304106,-95.9280737553285
2021-01-04,pre,9944.0,2675.0,23784.0,70310.0,1722.0,102357.0,7075.0,7637.0,581.0,1273.0,519.0,1707.531977425309,695.1544457440132,66.2452707168703,9426.332901164886,174.6771286427483,36638.99339522008,2853.2990651542864,1100.0639111184285,189.67016415740935,695.2016663503031,-29.490477000000002
2021-01-11,pre,11449.0,2285.0,23595.0,72747.0,1630.0,104575.0,7588.0,7620.0,380.0,1376.0,619.0,1513.7156380440067,1014.4577067135097,1540.4143155945883,9132.452543062976,134.9140985910901,26404.76452427727,3364.6347604438615,1149.045377640344,67.59616930472663,318.9930474849724,-599.9375992014386
2021-01-18,pre,11867.0,2586.0,25847.0,74084.0,1650.0,110378.0,8170.0,8043.0,194.0,1599.0,645.0,1876.2023274033063,254.0896544200791,-969.4055366578767,9680.586423190234,137.0228985723469,33768.33575902219,6695.738758806059,1095.2247822248912,51.616950537385144,292.2364476964949,-15.289888292727552
2021-01-25,pre,16213.0,2626.0,42790.0,97754.0,1865.0,148950.0,8042.0,11206.0,465.0,1591.0,667.0,2376.1496783754114,250.63425891650604,2132.610140618355,10023.892234221274,214.22723561055048,39826.87110458691,-770.970324084519,1340.869772852633,26.508937735195303,923.4655261517227,-0.8272335744377991
2021-02-01,pre,15907.0,2043.0,52571.0,105120.0,1844.0,137876.0,6790.0,13926.0,297.0,1483.0,496.0,1845.137016113927,723.729722855036,844.0939468967522,8744.354638142002,-176.17800440643998,42205.01198362655,1753.7331209823978,1099.8407844206388,26.660115716537884,228.5809380502871,198.28834061522332
2021-02-08,pre,13813.0,1730.0,47190.0,88530.0,1511.0,105735.0,5644.0,11746.0,79.0,1446.0,452.0,2149.634695962436,52.24826391111017,-140.73518024616448,11399.123673271277,71.90742099303318,30205.787206318935,4844.208514381711,1725.043518173037,15.637840580779882,643.5646437584702,-12.8
2021-02-15,pre,14544.0,2125.0,46706.0,92225.0,1619.0,119553.0,6060.0,12375.0,136.0,1335.0,463.0,2699.8344915737866,986.8997797107236,202.45169843003373,10803.23758017129,-83.98138530387135,26262.55571973634,333.54761987436,2401.1282793721016,93.4834356014062,401.7861351827581,202.0153656062484
2021-02-22,pre,12997.0,1703.0,44502.0,96489.0,1538.0,102384.0,6535.0,12270.0,119.0,1079.0,514.0,2051.3880912920554,1119.742612278157,163.02042769239353,10090.569107072113,49.11880891873793,46496.8989511527,3021.5804292623893,976.7726887246333,81.22324048594346,1535.1884525349672,-15.592573
2021-03-01,pre,13150.0,2110.0,56093.0,105643.0,1687.0,120123.0,5944.0,12851.0,173.0,938.0,433.0,2114.312314976046,1273.5011274946028,1313.3703866773535,10294.10024106456,107.05721777940252,38883.347669587376,1590.0430289556152,1174.6355569329155,5.252980545124785,184.83315936022808,-121.09789419882392
2021-03-08,pre,14028.0,1634.0,61896.0,112228.0,1653.0,118408.0,5654.0,14369.0,101.0,900.0,451.0,1455.1015713497668,259.3075509693977,357.4574094805326,8931.663136053861,58.87529300131048,49750.62302678855,3007.839357292334,1239.9168241979075,71.74497787356638,373.7467668893392,-21.002716
